"filename", "language", "Python", "Shell Script", "Batch", "Markdown", "Properties", "MS SQL", "YAML", "Ignore", "pip requirements", "comment", "blank", "total"
"c:\Users\angela\dev\ECM-Chatbot\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 28, 0, 8, 8, 44
"c:\Users\angela\dev\ECM-Chatbot\AGENTS.md", "Markdown", 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 68, 282
"c:\Users\angela\dev\ECM-Chatbot\INGEST_NO_GIT.bat", "Batch", 0, 0, 37, 0, 0, 0, 0, 0, 0, 6, 12, 55
"c:\Users\angela\dev\ECM-Chatbot\OPENAI_SETUP.md", "Markdown", 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 48, 162
"c:\Users\angela\dev\ECM-Chatbot\PROJECT_STRUCTURE.md", "Markdown", 0, 0, 0, 148, 0, 0, 0, 0, 0, 0, 40, 188
"c:\Users\angela\dev\ECM-Chatbot\README.md", "Markdown", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 72, 310
"c:\Users\angela\dev\ECM-Chatbot\api\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 12
"c:\Users\angela\dev\ECM-Chatbot\api\config.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 50, 23, 150
"c:\Users\angela\dev\ECM-Chatbot\api\db.py", "Python", 177, 0, 0, 0, 0, 0, 0, 0, 0, 66, 65, 308
"c:\Users\angela\dev\ECM-Chatbot\api\embeddings.py", "Python", 119, 0, 0, 0, 0, 0, 0, 0, 0, 54, 40, 213
"c:\Users\angela\dev\ECM-Chatbot\api\extractors\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 12
"c:\Users\angela\dev\ECM-Chatbot\api\extractors\email_extractor.py", "Python", 178, 0, 0, 0, 0, 0, 0, 0, 0, 72, 37, 287
"c:\Users\angela\dev\ECM-Chatbot\api\ingest.py", "Python", 319, 0, 0, 0, 0, 0, 0, 0, 0, 109, 96, 524
"c:\Users\angela\dev\ECM-Chatbot\api\ingest_pdf.py", "Python", 222, 0, 0, 0, 0, 0, 0, 0, 0, 86, 62, 370
"c:\Users\angela\dev\ECM-Chatbot\api\main.py", "Python", 169, 0, 0, 0, 0, 0, 0, 0, 0, 90, 61, 320
"c:\Users\angela\dev\ECM-Chatbot\api\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 0, 0, 31, 12, 11, 54
"c:\Users\angela\dev\ECM-Chatbot\api\retriever.py", "Python", 195, 0, 0, 0, 0, 0, 0, 0, 0, 119, 65, 379
"c:\Users\angela\dev\ECM-Chatbot\api\security.py", "Python", 94, 0, 0, 0, 0, 0, 0, 0, 0, 71, 36, 201
"c:\Users\angela\dev\ECM-Chatbot\diagnose_memory.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 11, 19, 88
"c:\Users\angela\dev\ECM-Chatbot\docker-compose.yml", "YAML", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 4, 42
"c:\Users\angela\dev\ECM-Chatbot\docker-init-db.sh", "Shell Script", 0, 6, 0, 0, 0, 0, 0, 0, 0, 3, 2, 11
"c:\Users\angela\dev\ECM-Chatbot\ingest_batches.sh", "Shell Script", 0, 60, 0, 0, 0, 0, 0, 0, 0, 7, 22, 89
"c:\Users\angela\dev\ECM-Chatbot\ingest_conservative.py", "Python", 61, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 95
"c:\Users\angela\dev\ECM-Chatbot\ingest_emails_batch.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 0, 29, 35, 176
"c:\Users\angela\dev\ECM-Chatbot\ingest_safe.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 104
"c:\Users\angela\dev\ECM-Chatbot\ingest_sqlite.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 42
"c:\Users\angela\dev\ECM-Chatbot\init-db.sql", "MS SQL", 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 3, 9
"c:\Users\angela\dev\ECM-Chatbot\ocr_prepare.py", "Python", 154, 0, 0, 0, 0, 0, 0, 0, 0, 13, 21, 188
"c:\Users\angela\dev\ECM-Chatbot\pg_hba.conf", "Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 4, 1, 10
"c:\Users\angela\dev\ECM-Chatbot\run_ingestion.bat", "Batch", 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 10, 47
"c:\Users\angela\dev\ECM-Chatbot\run_ingestion.sh", "Shell Script", 0, 31, 0, 0, 0, 0, 0, 0, 0, 12, 14, 57
"c:\Users\angela\dev\ECM-Chatbot\test_db_connection.py", "Python", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 34
"c:\Users\angela\dev\ECM-Chatbot\test_email_extraction.py", "Python", 21, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 33
"c:\Users\angela\dev\ECM-Chatbot\test_email_extraction_full.py", "Python", 50, 0, 0, 0, 0, 0, 0, 0, 0, 8, 18, 76
"c:\Users\angela\dev\ECM-Chatbot\test_email_extraction_lite.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 14, 15, 91
"c:\Users\angela\dev\ECM-Chatbot\test_email_ingest.py", "Python", 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 27
