"filename", "language", "Python", "Markdown", "TypeScript", "JSON with Comments", "JSON", "JavaScript", "pip requirements", "PostCSS", "TypeScript JSX", "Shell Script", "Batch", "comment", "blank", "total"
"c:\Users\angela\dev\ECM-Chatbot\AGENTS.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\angela\dev\ECM-Chatbot\INGEST_NO_GIT.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -37, -6, -12, -55
"c:\Users\angela\dev\ECM-Chatbot\PROJECT_STRUCTURE.md", "Markdown", 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 127
"c:\Users\angela\dev\ECM-Chatbot\README.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1
"c:\Users\angela\dev\ECM-Chatbot\api\answer_generator.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 35, 251
"c:\Users\angela\dev\ECM-Chatbot\api\config.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 7
"c:\Users\angela\dev\ECM-Chatbot\api\db.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\angela\dev\ECM-Chatbot\api\ingest.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\angela\dev\ECM-Chatbot\api\llm.py", "Python", 112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 92, 28, 232
"c:\Users\angela\dev\ECM-Chatbot\api\main.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 8
"c:\Users\angela\dev\ECM-Chatbot\api\requirements.txt", "pip requirements", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\angela\dev\ECM-Chatbot\diagnose_memory.py", "Python", -58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -19, -88
"c:\Users\angela\dev\ECM-Chatbot\ingest_batches.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, -60, 0, -7, -22, -89
"c:\Users\angela\dev\ECM-Chatbot\ingest_conservative.py", "Python", -61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, -21, -95
"c:\Users\angela\dev\ECM-Chatbot\ingest_pool.py", "Python", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 54, 267
"c:\Users\angela\dev\ECM-Chatbot\ingest_safe.py", "Python", -75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -17, -104
"c:\Users\angela\dev\ECM-Chatbot\ingest_sqlite.py", "Python", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -10, -42
"c:\Users\angela\dev\ECM-Chatbot\rebuild_vectors.py", "Python", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 22, 115
"c:\Users\angela\dev\ECM-Chatbot\run_ingestion.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -30, -7, -10, -47
"c:\Users\angela\dev\ECM-Chatbot\run_ingestion.sh", "Shell Script", 0, 0, 0, 0, 0, 0, 0, 0, 0, -31, 0, -12, -14, -57
"c:\Users\angela\dev\ECM-Chatbot\test_db_connection.py", "Python", -24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7, -34
"c:\Users\angela\dev\ECM-Chatbot\test_email_extraction.py", "Python", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -7, -33
"c:\Users\angela\dev\ECM-Chatbot\test_email_extraction_full.py", "Python", -50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -18, -76
"c:\Users\angela\dev\ECM-Chatbot\test_email_extraction_lite.py", "Python", -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -15, -91
