"filename", "language", "Python", "pip requirements", "Markdown", "MS SQL", "Properties", "Shell Script", "Ignore", "YAML", "TypeScript", "JSON with Comments", "JSON", "TypeScript JSX", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\angela\dev\ECM-Chatbot\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 8, 8, 44
"c:\Users\angela\dev\ECM-Chatbot\AGENTS.md", "Markdown", 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 289
"c:\Users\angela\dev\ECM-Chatbot\OPENAI_SETUP.md", "Markdown", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 162
"c:\Users\angela\dev\ECM-Chatbot\PHASE3_SUMMARY.md", "Markdown", 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 309
"c:\Users\angela\dev\ECM-Chatbot\PROJECT_STRUCTURE.md", "Markdown", 0, 0, 338, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 423
"c:\Users\angela\dev\ECM-Chatbot\QUICKREF.md", "Markdown", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 143
"c:\Users\angela\dev\ECM-Chatbot\README.md", "Markdown", 0, 0, 240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 311
"c:\Users\angela\dev\ECM-Chatbot\STATUS_REPORT.md", "Markdown", 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 402
"c:\Users\angela\dev\ECM-Chatbot\TESTING.md", "Markdown", 0, 0, 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 168
"c:\Users\angela\dev\ECM-Chatbot\TEST_RESULTS.md", "Markdown", 0, 0, 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 233
"c:\Users\angela\dev\ECM-Chatbot\api\__init__.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 2, 12
"c:\Users\angela\dev\ECM-Chatbot\api\answer_generator.py", "Python", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 35, 251
"c:\Users\angela\dev\ECM-Chatbot\api\app_simple.py", "Python", 206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 29, 265
"c:\Users\angela\dev\ECM-Chatbot\api\config.py", "Python", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 24, 151
"c:\Users\angela\dev\ECM-Chatbot\api\db.py", "Python", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 66, 65, 310
